country,state,city,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,AQI,AQI_Bucket,Temperature_C,Humidity_%,Wind_Speed_kmh
India,Assam,Nagaon,PM2.5,43,77,63,98,Moderate,38.3,55.5,20
India,Assam,Nagaon,NO2,1,5,1,36,Good,21.4,31.7,18.1
India,Assam,Silchar,NO2,17,17,17,49,Good,25.4,41.8,13.3
India,Chhattisgarh,Tumidih,PM10,15,104,32,50,Good,32.2,65.1,12
India,Chhattisgarh,Tumidih,NH3,1,2,1,48,Good,34.1,64.1,19.9
India,Delhi,Delhi,NO2,,,,452,Hazardous,25.8,39.5,2.4
India,Delhi,Delhi,SO2,2,4,3,47,Good,28.2,81.3,13.2
India,Delhi,Delhi,PM10,13,141,84,64,Moderate,20.4,45.6,5.8
India,Delhi,Delhi,NH3,0,8,2,0,Good,36.6,81.9,17.2
India,Delhi,Delhi,SO2,2,4,3,10,Good,26.2,91.4,2.2
India,Delhi,Delhi,NH3,6,14,9,37,Good,21.4,52.6,0.4
India,Delhi,Delhi,PM2.5,42,105,76,58,Moderate,38.4,33.1,23.2
India,Delhi,Delhi,PM10,52,119,89,82,Moderate,22.3,52,9.9
India,Delhi,Delhi,NH3,0,8,3,6,Good,26.2,54.7,28.5
India,Delhi,Delhi,NO2,19,65,27,10,Good,27.9,85.6,3.6
India,Delhi,Delhi,PM10,81,152,113,101,Unhealthy for Sensitive Groups,22.5,36,20.8
India,Assam,Sivasagar,PM2.5,10,17,13,42,Good,28.6,62,14.5
India,Assam,Sivasagar,PM10,24,38,28,45,Good,38.2,48.7,7.7
India,Assam,Sivasagar,OZONE,26,50,36,1,Good,18.8,90.8,6.7
India,Bihar,Araria,PM2.5,42,140,63,75,Moderate,26.2,62.1,26.1
India,Bihar,Arrah,PM2.5,20,110,62,60,Moderate,24.5,38.6,7.5
India,Bihar,Arrah,NO2,6,9,7,12,Good,19.4,66.4,7
India,Bihar,Arrah,NH3,2,2,2,14,Good,23.7,37.6,16.5
India,Bihar,Aurangabad,PM2.5,,,,314,Hazardous,17.7,89.5,7.8
India,Bihar,Begusarai,PM2.5,15,50,32,36,Good,39.3,87.2,17.5
India,Bihar,Begusarai,PM10,23,133,80,65,Moderate,33,58.9,7.8
India,Bihar,Bhagalpur,NH3,0,5,2,16,Good,35.5,57.1,15.4
India,Bihar,Bhagalpur,OZONE,6,75,22,32,Good,18,31,9.3
India,Bihar,Bhagalpur,SO2,9,38,24,46,Good,19,89.6,15.9
India,Bihar,Muzaffarpur,NH3,0,0,0,25,Good,38.9,84,14.8
India,Bihar,Patna,NH3,9,10,9,38,Good,27.9,53.4,11.6
India,Bihar,Patna,CO,38,48,42,27,Good,23.5,79.6,3
India,Bihar,Patna,OZONE,11,28,15,16,Good,19.8,47,0.3
India,Bihar,Patna,SO2,6,12,8,50,Good,32.7,41,16.2
India,Bihar,Patna,NH3,,,,488,Hazardous,30.6,68.2,6.5
India,Bihar,Patna,SO2,14,22,18,25,Good,26.8,51.8,26.8
India,Bihar,Patna,OZONE,59,60,59,72,Moderate,24.1,75.7,15.2
India,Bihar,Patna,NO2,17,18,18,24,Good,17,68.4,19.1
India,Bihar,Patna,PM2.5,,,,326,Hazardous,29.9,35.3,0.5
India,Bihar,Patna,PM10,,,,415,Hazardous,30.4,66.2,24.7
India,Bihar,Patna,SO2,,,,317,Hazardous,30.2,46.2,28.6
India,Bihar,Patna,OZONE,16,94,55,72,Moderate,30.7,54.1,13
India,Bihar,Rajgir,OZONE,15,45,29,18,Good,33,63.1,18.6
India,Bihar,Samastipur,CO,2,4,3,48,Good,39.2,66.9,27.4
India,Bihar,Samastipur,OZONE,6,9,8,19,Good,23,78.5,24
India,Bihar,Siwan,PM2.5,7,78,50,43,Good,37.2,44.4,4.3
India,Bihar,Siwan,NO2,2,2,2,5,Good,33.5,35.3,9.5
India,Chandigarh,Chandigarh,PM10,,,,327,Hazardous,31.5,87.3,8.8
India,Chandigarh,Chandigarh,SO2,,,,373,Hazardous,38.5,76.4,18.3
India,Chandigarh,Chandigarh,OZONE,4,32,20,4,Good,15.7,53.2,29.3
India,Chandigarh,Chandigarh,PM2.5,5,68,17,36,Good,28.3,56.8,24.6
India,Chandigarh,Chandigarh,SO2,4,7,6,22,Good,32.5,45.2,30
India,Chhattisgarh,Bhilai,PM10,8,25,13,16,Good,34.9,89.9,12.7
India,Chhattisgarh,Bhilai,NH3,1,2,1,42,Good,17.9,64.6,27
India,Chhattisgarh,Bhilai,CO,5,12,9,35,Good,22.6,91.6,0.3
India,Bihar,Katihar,CO,70,85,78,75,Moderate,22.7,85.1,21.5
India,Bihar,Kishanganj,NO2,7,8,7,44,Good,38.6,85.6,13.5
India,Bihar,Kishanganj,OZONE,33,37,34,6,Good,30.9,34.8,4
India,Bihar,Manguraha,NO2,2,7,4,48,Good,25.4,80.1,5
India,Bihar,Manguraha,NH3,,,,343,Hazardous,20.8,56.2,26
India,Bihar,Motihari,PM2.5,,,,473,Hazardous,18.3,61.9,3.2
India,Bihar,Motihari,SO2,3,3,3,44,Good,26.1,84.4,15.7
India,Bihar,Motihari,OZONE,53,57,55,59,Moderate,22.5,72.9,28
India,Bihar,Munger,NH3,3,3,3,5,Good,21.1,78.9,27
India,Bihar,Munger,SO2,25,33,29,23,Good,26.3,64.5,29.5
India,Bihar,Munger,OZONE,1,6,2,42,Good,19.6,46.4,2.7
India,Bihar,Bihar Sharif,OZONE,1,2,2,32,Good,30.6,87.8,12.3
India,Bihar,Buxar,PM2.5,17,500,151,198,Unhealthy,39.6,46.2,28.9
India,Bihar,Chhapra,NO2,2,3,2,1,Good,37,74.9,10
India,Bihar,Chhapra,SO2,21,23,21,45,Good,19.5,86.8,13.6
India,Bihar,Chhapra,CO,83,103,99,66,Moderate,20.1,86.4,29.1
India,Bihar,Gaya,OZONE,28,28,28,33,Good,30.8,50.2,14.3
India,Bihar,Gaya,SO2,7,9,8,45,Good,34.3,48,29.3
India,Bihar,Gaya,PM2.5,10,87,39,9,Good,26.6,66.1,14.8
India,Bihar,Gaya,NH3,0,1,1,14,Good,17.7,55.8,29.9
India,Andhra Pradesh,Amaravati,PM10,26,103,52,68,Moderate,16.5,60.8,24.9
India,Andhra Pradesh,Amaravati,OZONE,26,36,31,30,Good,37.8,88.3,29.9
India,Andhra Pradesh,Anantapur,NO2,14,29,18,32,Good,37.2,91.5,12.7
India,Andhra Pradesh,Anantapur,NH3,3,6,3,38,Good,31.9,37.4,3.7
India,Andhra Pradesh,Anantapur,CO,24,29,27,12,Good,35.4,94.1,6.8
India,Andhra Pradesh,Eluru,PM10,54,71,64,94,Moderate,38.6,74.1,2.4
India,Andhra Pradesh,Eluru,NH3,3,7,5,14,Good,17.3,55.5,24.2
India,Andhra Pradesh,Eluru,SO2,7,16,12,12,Good,23.4,58.1,13.5
India,Andhra Pradesh,Kadapa,PM10,44,56,53,99,Moderate,21.7,44.9,21
India,Andhra Pradesh,Kadapa,NO2,28,35,31,44,Good,27.7,31.2,7.1
India,Chhattisgarh,Bilaspur,NO2,15,19,17,16,Good,38,84.7,18.1
India,Chhattisgarh,Bilaspur,NH3,,,,374,Hazardous,24.9,74.5,27.6
India,Chhattisgarh,Kunjemura,PM2.5,12,27,19,40,Good,33.7,67.5,25
India,Chhattisgarh,Kunjemura,NO2,5,17,8,26,Good,21.3,30.3,18.2
India,Chhattisgarh,Kunjemura,SO2,0,17,8,25,Good,15.8,60.6,7.4
India,Chhattisgarh,Kunjemura,CO,25,28,26,48,Good,20,93.2,18.8
India,Chhattisgarh,Raipur,PM2.5,9,17,12,11,Good,21.8,90.8,23.4
India,Chhattisgarh,Raipur,CO,17,17,17,8,Good,24.2,81,26.6
India,Chhattisgarh,Raipur,CO,10,13,11,23,Good,21.4,53.8,26
India,Delhi,Delhi,OZONE,27,62,46,31,Good,21.8,51.3,28.1
India,Delhi,Delhi,PM2.5,18,136,66,74,Moderate,19.3,37.2,7.2
India,Delhi,Delhi,OZONE,9,98,51,86,Moderate,31.5,45.7,21.1
India,Delhi,Delhi,SO2,,,,385,Hazardous,21,69.7,24.7
India,Delhi,Delhi,PM2.5,8,92,60,59,Moderate,39.9,48.6,15.9
India,Delhi,Delhi,OZONE,29,103,61,53,Moderate,24.3,67.6,21.8
India,Gujarat,Ahmedabad,NH3,1,1,1,10,Good,16,47.8,20.3
India,Gujarat,Ahmedabad,SO2,0,1,1,8,Good,18.8,77.3,13.3
India,Gujarat,Ahmedabad,PM10,45,99,74,91,Moderate,31.2,44,17.8
India,Gujarat,Ahmedabad,NO2,13,81,21,36,Good,20,53.8,11.5
India,Gujarat,Ahmedabad,NH3,3,4,3,41,Good,19.5,79.3,7.9
India,Gujarat,Ahmedabad,SO2,16,37,24,44,Good,37.2,66,19.2
India,Gujarat,Ahmedabad,OZONE,11,18,14,12,Good,23.7,42.4,28.6
India,Gujarat,Ahmedabad,PM10,57,129,85,73,Moderate,39.7,78.1,21.3
India,Gujarat,Ahmedabad,SO2,12,56,29,7,Good,21.5,90.4,7.6
India,Gujarat,Ahmedabad,OZONE,5,24,13,1,Good,22.2,81.1,16.9
India,Gujarat,Ahmedabad,PM2.5,20,47,33,33,Good,31,85.5,23
India,Delhi,Delhi,SO2,1,4,3,7,Good,27.6,36.2,9.4
India,Delhi,Delhi,NH3,3,16,6,31,Good,18.8,87.6,17.7
India,Delhi,Delhi,CO,24,34,28,4,Good,38.6,91.6,22.3
India,Delhi,Delhi,SO2,6,19,12,48,Good,26.4,38.1,12
India,Delhi,Delhi,CO,44,80,57,55,Moderate,37.6,51.7,6.2
India,Delhi,Delhi,NO2,21,62,34,45,Good,25.8,34.6,17.5
India,Delhi,Delhi,CO,28,43,33,40,Good,21.3,64.9,13.5
India,Delhi,Delhi,NO2,16,64,29,2,Good,16,33.8,12.3
India,Delhi,Delhi,CO,69,93,74,79,Moderate,38.4,68.1,22.4
India,Delhi,Delhi,NO2,15,37,21,5,Good,15.2,77.1,1.6
India,Delhi,Delhi,NH3,3,14,10,18,Good,33.4,71.7,16.8
India,Delhi,Delhi,SO2,0,8,3,39,Good,21.7,65.6,17.1
India,Delhi,Delhi,PM2.5,28,93,59,77,Moderate,23.2,40.1,14.3
India,Delhi,Delhi,PM10,52,127,95,71,Moderate,24.2,51.1,30
India,Delhi,Delhi,NO2,12,53,24,42,Good,30.5,45,11.5
India,Delhi,Delhi,SO2,8,113,43,39,Good,25.4,90.1,16.8
India,Delhi,Delhi,PM10,66,150,115,109,Unhealthy for Sensitive Groups,37.8,85.9,24.5
India,Delhi,Delhi,CO,47,67,54,83,Moderate,35.9,93.5,23.2
India,Delhi,Delhi,OZONE,1,12,6,11,Good,16.6,54.2,18.3
India,Delhi,Delhi,OZONE,8,11,9,31,Good,24.2,88.9,12.4
India,Delhi,Delhi,NO2,46,92,71,88,Moderate,33.1,72.7,7.7
India,Delhi,Delhi,NH3,1,3,2,31,Good,29.7,91.5,3.7
India,Delhi,Delhi,SO2,6,26,15,48,Good,19.7,73.3,27.6
India,Delhi,Delhi,CO,105,108,107,141,Unhealthy for Sensitive Groups,22.4,72.9,24.7
India,Delhi,Delhi,CO,35,52,42,29,Good,24.3,53.8,5.8
India,Delhi,Delhi,PM2.5,37,217,78,96,Moderate,39.4,44.2,0.4
India,Delhi,Delhi,PM10,58,115,84,62,Moderate,25.4,88.2,23.6
India,Gujarat,Vadodara,NH3,2,2,2,24,Good,31.7,81.9,26.8
India,Gujarat,Vadodara,OZONE,2,5,4,37,Good,24.3,46.1,23
India,Gujarat,Vapi,PM10,,,,313,Hazardous,36.1,32.4,22.3
India,Gujarat,Vatva,SO2,18,38,27,43,Good,31.4,38.1,17.2
India,Gujarat,Vatva,CO,13,14,13,21,Good,21.9,65,1.5
India,Haryana,Ambala,PM2.5,29,72,47,0,Good,15,41.5,27.5
India,Haryana,Bahadurgarh,NH3,8,9,8,39,Good,33.1,91.6,25.4
India,Haryana,Bhiwani,PM2.5,134,197,152,179,Unhealthy,36.7,86,3.7
India,Haryana,Bhiwani,NO2,7,10,8,25,Good,37.5,90.8,21.5
India,Haryana,Bhiwani,NH3,1,3,2,49,Good,29.6,50.7,8.7
India,Haryana,Bhiwani,SO2,12,13,13,46,Good,18.3,69,9.9
India,Gujarat,Gandhinagar,PM2.5,22,65,39,44,Good,34.9,42.4,13.7
India,Gujarat,Gandhinagar,NO2,9,16,12,46,Good,15.5,57.7,9.2
India,Gujarat,Mehsana,PM10,21,106,54,63,Moderate,24.1,49.6,11.3
India,Gujarat,Nandesari,NH3,,,,454,Hazardous,30.2,30.9,5.2
India,Gujarat,Rajkot,CO,82,90,85,75,Moderate,38.9,78.7,8.8
India,Gujarat,Surat,PM2.5,6,90,26,22,Good,26.6,81.6,11.8
India,Gujarat,Surat,PM10,16,121,35,18,Good,37.4,46.3,4.2
India,Gujarat,Surat,NO2,2,4,3,15,Good,35.5,44.2,29.6
India,Gujarat,Surat,NH3,,,,443,Hazardous,19.7,40.2,19.7
India,Gujarat,Surat,CO,39,48,42,35,Good,35.5,35.1,14.6
India,Gujarat,Surat,OZONE,,,,477,Hazardous,29.1,83.8,1.8
India,Delhi,Delhi,PM2.5,50,95,71,53,Moderate,26.4,81.8,17.6
India,Delhi,Delhi,PM2.5,52,187,97,66,Moderate,15.6,88.9,20.5
India,Delhi,Delhi,PM10,64,116,93,74,Moderate,32.9,58.9,9.4
India,Delhi,Delhi,NH3,3,5,4,19,Good,23.4,60.7,4.9
India,Delhi,Delhi,SO2,23,50,39,1,Good,21.2,66.4,13
India,Delhi,Delhi,NH3,4,6,5,32,Good,30.8,67.4,19.9
India,Delhi,Delhi,SO2,29,76,52,87,Moderate,38.8,31.3,14
India,Delhi,Delhi,PM2.5,53,134,82,69,Moderate,16.7,72.3,4.3
India,Delhi,Delhi,OZONE,8,33,18,16,Good,24.1,58.8,7.9
India,Delhi,Delhi,PM2.5,48,98,79,65,Moderate,32.6,41.7,9.6
India,Delhi,Delhi,PM10,56,117,92,85,Moderate,37.8,31,9.2
India,Haryana,Charkhi Dadri,NH3,5,8,6,48,Good,31.5,71.2,27.4
India,Haryana,Dharuhera,PM10,70,134,100,90,Moderate,34.1,40.9,2.8
India,Haryana,Dharuhera,NO2,14,72,47,3,Good,33.1,65.9,17.8
India,Haryana,Dharuhera,CO,64,79,72,56,Moderate,33.2,84.9,8.5
India,Haryana,Faridabad,NO2,30,33,32,20,Good,20,75.5,5.1
India,Haryana,Faridabad,NH3,5,5,5,17,Good,33.7,92.3,10.5
India,Haryana,Faridabad,PM2.5,33,149,84,53,Moderate,35.5,90.5,3.3
India,Haryana,Gurugram,NH3,,,,464,Hazardous,36.9,77.3,12
India,Haryana,Gurugram,OZONE,27,54,44,36,Good,32,51.6,9.4
India,Gujarat,Ahmedabad,NH3,1,1,1,48,Good,21.1,30.1,6.8
India,Gujarat,Ahmedabad,SO2,8,10,9,25,Good,22,33.4,19.6
India,Gujarat,Ahmedabad,CO,10,22,17,30,Good,31.7,38.9,13.9
India,Gujarat,Ankleshwar,PM10,,,,375,Hazardous,39,72.9,25.1
India,Gujarat,Ankleshwar,NH3,,,,301,Hazardous,25.5,88.7,0.2
India,Gujarat,Bhavnagar,PM2.5,0,29,16,39,Good,19.5,91.3,17
India,Gujarat,Bhavnagar,PM10,27,194,98,93,Moderate,15.1,63.5,15.8
India,Gujarat,Gandhinagar,PM2.5,18,57,37,48,Good,23.6,50.6,15.5
India,Delhi,Delhi,PM10,21,196,123,121,Unhealthy for Sensitive Groups,27.3,59.4,22.5
India,Delhi,Delhi,PM10,77,139,110,123,Unhealthy for Sensitive Groups,16.2,65.9,12.4
India,Delhi,Delhi,NH3,6,13,9,7,Good,37.4,92.4,29.8
India,Delhi,Delhi,NO2,15,113,57,84,Moderate,39.4,35.7,25.7
India,Delhi,Delhi,NH3,,,,367,Hazardous,39,61.5,2.7
India,Delhi,Delhi,SO2,,,,427,Hazardous,38.4,77.6,16.2
India,Delhi,Delhi,OZONE,3,72,37,38,Good,33.1,61.9,3.8
India,Delhi,Delhi,OZONE,24,44,35,38,Good,20.2,36.1,6.6
India,Karnataka,Koppal,PM2.5,,,,333,Hazardous,32.9,92.2,4
India,Karnataka,Koppal,PM10,,,,303,Hazardous,15.2,70.8,19.4
India,Karnataka,Koppal,NH3,2,8,8,33,Good,31.1,45.5,3.5
India,Karnataka,Mangalore,PM10,24,30,27,25,Good,31.9,49.4,1.7
India,Karnataka,Mangalore,NO2,1,6,3,50,Good,28.6,91.4,29
India,Karnataka,Mysuru,PM10,17,83,44,25,Good,37.9,71.8,15.6
India,Karnataka,Mysuru,OZONE,19,55,33,40,Good,29.7,36.5,15.7
India,Karnataka,Ramanagara,CO,18,33,26,11,Good,28.8,40.3,29.5
India,Karnataka,Shivamogga,PM10,33,50,42,47,Good,18.6,88.6,6.6
India,Karnataka,Shivamogga,NO2,20,29,24,20,Good,15.6,46.1,5.1
India,Karnataka,Shivamogga,OZONE,42,64,48,11,Good,28.2,32.2,11.8
India,Karnataka,Vijayapura,PM10,35,39,37,17,Good,15.3,46.8,21.4
India,Karnataka,Vijayapura,CO,11,30,21,30,Good,36.9,85.3,4.9
India,Karnataka,Vijayapura,OZONE,16,16,16,48,Good,23.1,63.7,25.4
India,Karnataka,Yadgir,PM2.5,2,17,7,0,Good,27.7,80.5,5
India,Karnataka,Yadgir,NO2,16,22,18,33,Good,21,34.4,24.1
India,Karnataka,Yadgir,OZONE,11,29,21,39,Good,24.6,93.5,21.3
India,Haryana,Gurugram,PM2.5,116,345,214,265,Very Unhealthy,38.7,66.1,27.7
India,Haryana,Hisar,PM2.5,92,280,147,108,Unhealthy for Sensitive Groups,27.3,57,20.7
India,Haryana,Jind,PM2.5,75,305,137,109,Unhealthy for Sensitive Groups,29.8,54.4,29
India,Haryana,Jind,NO2,13,27,19,42,Good,38.7,50,10.5
India,Haryana,Karnal,PM10,3,375,163,186,Unhealthy,37.2,32.3,1.6
India,Haryana,Karnal,NH3,6,7,6,22,Good,18.2,88.3,10.3
India,Haryana,Karnal,SO2,12,13,13,24,Good,25.7,63.6,11.3
India,Haryana,Kurukshetra,CO,20,35,25,22,Good,33.5,86.3,29.3
India,Haryana,Manesar,PM2.5,75,172,118,125,Unhealthy for Sensitive Groups,36.3,49.7,10.1
India,Haryana,Manesar,PM10,79,165,129,144,Unhealthy for Sensitive Groups,17.6,94.1,11.5
India,Haryana,Manesar,NO2,27,32,30,10,Good,29.8,66.8,15.2
India,Haryana,Manesar,NH3,7,11,9,5,Good,17.6,91.1,10.9
India,Haryana,Narnaul,NH3,8,10,9,14,Good,15.6,76.4,22.4
India,Haryana,Narnaul,SO2,6,7,7,23,Good,39.2,84.6,6.2
India,Haryana,Narnaul,OZONE,13,55,25,41,Good,35.2,84.3,7.7
India,Haryana,Palwal,PM2.5,27,63,33,48,Good,18.1,81.6,19.8
India,Haryana,Palwal,CO,16,54,28,26,Good,17.4,74.3,3.5
India,Haryana,Panchgaon,PM2.5,,,,386,Hazardous,28.1,37.5,2.1
India,Haryana,Panchgaon,CO,41,59,47,22,Good,26.1,67.6,26
India,Haryana,Panchkula,NH3,,,,348,Hazardous,20.3,62.9,7.8
India,Haryana,Panchkula,SO2,,,,489,Hazardous,36.9,75,29
India,Haryana,Panipat,NH3,7,7,7,34,Good,21.3,34.8,8.3
India,Haryana,Rohtak,SO2,8,12,10,26,Good,19.9,38.1,27.9
India,Haryana,Sonipat,PM2.5,3,483,160,156,Unhealthy,26.5,49.6,21.6
India,Haryana,Sonipat,NO2,6,8,7,18,Good,25.2,92.8,14.5
India,Haryana,Sonipat,OZONE,66,190,121,104,Unhealthy for Sensitive Groups,21.8,88.2,3.6
India,Haryana,Yamuna Nagar,NO2,45,60,53,58,Moderate,20.7,73.6,10.6
India,Haryana,Yamuna Nagar,SO2,10,15,11,38,Good,32.7,34.4,6.1
India,Haryana,Yamuna Nagar,CO,23,41,32,13,Good,27.2,56.6,24.9
India,Himachal Pradesh,Baddi,NO2,7,28,16,12,Good,37.5,39.9,26.6
India,Jammu and Kashmir,Pampore,OZONE,,,,364,Hazardous,28.3,48.4,29.1
India,Jharkhand,Jorapokhar,OZONE,3,5,4,34,Good,33.6,87.4,11.6
India,Karnataka,Bagalkot,NH3,1,1,1,28,Good,38.3,54.2,26.7
India,Karnataka,Bengaluru,PM10,23,96,43,43,Good,24.1,32.3,6.9
India,Karnataka,Bengaluru,PM2.5,,,,321,Hazardous,39.1,39.7,3.6
India,Karnataka,Bengaluru,SO2,13,15,15,6,Good,37,35.7,8.6
India,Kerala,Kollam,SO2,1,4,2,46,Good,29.3,56.7,6.6
India,Kerala,Thiruvananthapuram,PM2.5,45,49,47,46,Good,26.6,31.2,8.8
India,Kerala,Thrissur,PM10,44,65,56,57,Moderate,17.8,85.6,27.1
India,Madhya Pradesh,Bhopal,NO2,11,21,15,47,Good,18.2,89.8,21.9
India,Madhya Pradesh,Bhopal,SO2,13,24,17,18,Good,29.4,91.2,25.1
India,Madhya Pradesh,Bhopal,SO2,22,32,27,37,Good,36.1,47.1,30
India,Madhya Pradesh,Bhopal,CO,36,60,46,24,Good,38.9,82.1,13.7
India,Madhya Pradesh,Bhopal,NH3,3,5,4,37,Good,34.6,62.1,29.5
India,Karnataka,Bengaluru,NH3,,,,375,Hazardous,37.1,80.4,11.6
India,Karnataka,Bengaluru,OZONE,28,41,35,43,Good,20.1,56.9,26.7
India,Karnataka,Bengaluru,NH3,3,3,3,50,Good,37,37.4,10.7
India,Karnataka,Bengaluru,PM2.5,9,46,24,35,Good,19.5,49,2.7
India,Karnataka,Bengaluru,PM10,29,114,80,87,Moderate,22.8,48.1,5.9
India,Karnataka,Bengaluru,NO2,6,13,9,29,Good,18.3,89.4,26.3
India,Karnataka,Bengaluru,CO,2,18,11,0,Good,16.5,66.7,1.1
India,Karnataka,Bengaluru,NH3,1,1,1,47,Good,23.6,83.1,29.5
India,Karnataka,Chamarajanagar,SO2,4,5,4,21,Good,39.7,58.4,8.8
India,Karnataka,Chikkaballapur,OZONE,36,47,42,9,Good,34.1,56.4,27.3
India,Karnataka,Gadag,NH3,3,4,3,35,Good,36.6,85.6,29.5
India,Karnataka,Hubballi,PM10,45,49,47,24,Good,15.7,82.3,7.1
India,Karnataka,Hubballi,NO2,7,9,8,34,Good,26.6,90.2,7.4
India,Karnataka,Hubballi,NH3,1,2,2,2,Good,31.8,55.7,7.1
India,Karnataka,Hubballi,OZONE,21,22,22,24,Good,19,80.1,6.6
India,Karnataka,Kalaburagi,PM2.5,14,39,29,6,Good,21.2,57.4,27
India,Karnataka,Kalaburagi,NH3,2,3,2,8,Good,39,50.4,7.1
India,Madhya Pradesh,Damoh,PM2.5,9,33,21,8,Good,19.4,65.1,21.7
India,Madhya Pradesh,Damoh,PM10,18,61,29,26,Good,31.6,51.8,28.8
India,Madhya Pradesh,Damoh,NH3,,,,388,Hazardous,20.4,78,21.8
India,Madhya Pradesh,Dewas,CO,27,39,32,5,Good,27.7,74.7,21.8
India,Madhya Pradesh,Dewas,OZONE,5,14,11,21,Good,17,86.3,15
India,Madhya Pradesh,Gwalior,PM10,4,109,36,29,Good,32.6,35,20.5
India,Madhya Pradesh,Gwalior,PM10,9,40,22,28,Good,32.9,84.1,3
India,Madhya Pradesh,Indore,OZONE,5,5,5,32,Good,39.1,45.3,17.6
India,Madhya Pradesh,Indore,SO2,10,16,13,23,Good,25.6,71.4,3.5
India,Maharashtra,Nashik,PM2.5,8,25,16,43,Good,33.3,40.2,5.4
India,Maharashtra,Nashik,SO2,1,5,3,42,Good,27.9,59.5,18.6
India,Maharashtra,Nashik,CO,21,22,21,8,Good,32.3,65.4,8.6
India,Maharashtra,Navi Mumbai,NO2,,,,499,Hazardous,39.5,55,6.4
India,Maharashtra,Navi Mumbai,SO2,,,,336,Hazardous,19.2,36.9,25.5
India,Maharashtra,Navi Mumbai,PM10,21,31,26,26,Good,18.7,31.3,11.7
India,Maharashtra,Navi Mumbai,PM10,36,57,47,13,Good,29.8,87.4,3.3
India,Maharashtra,Navi Mumbai,PM10,9,35,20,18,Good,26.5,33.7,9.2
India,Maharashtra,Navi Mumbai,NO2,42,43,43,40,Good,16.4,80.2,23.1
India,Maharashtra,Navi Mumbai,SO2,17,17,17,24,Good,38.7,51.4,13.6
India,Maharashtra,Navi Mumbai,OZONE,9,16,13,27,Good,27,83.7,12.6
India,Maharashtra,Navi Mumbai,PM10,16,31,23,28,Good,27.7,93.4,28.4
India,Maharashtra,Navi Mumbai,SO2,19,25,25,41,Good,28.3,53,2.6
India,Maharashtra,Parbhani,NH3,3,5,4,2,Good,19.4,62.2,28.2
India,Maharashtra,Pimpri-Chinchwad,NH3,2,2,2,11,Good,25.4,83.3,3.2
India,Maharashtra,Pimpri-Chinchwad,NO2,13,21,15,41,Good,22.9,67.1,29.7
India,Maharashtra,Amravati,OZONE,6,14,10,11,Good,35.8,62.3,11.2
India,Maharashtra,Amravati,PM10,20,71,39,21,Good,26.2,37.3,23
India,Maharashtra,Amravati,OZONE,2,17,9,10,Good,39.4,67.7,26.7
India,Maharashtra,Aurangabad,PM2.5,3,52,19,39,Good,18.2,71.3,3.4
India,Maharashtra,Aurangabad,OZONE,9,19,11,20,Good,26.8,58.3,5.5
