state,city,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,AQI,AQI_Bucket,Temperature_C,Humidity_%,Wind_Speed_kmh
Assam,Byrnihat,PM10,58.0,120.0,80.0,74,Moderate,30.2,40.9,29.8
Assam,Guwahati,CO,36.0,45.0,40.0,46,Good,36.6,56.2,26.8
Assam,Guwahati,NO2,3.0,3.0,3.0,19,Good,18.1,69.1,2.4
Assam,Guwahati,NO2,1.0,3.0,2.0,47,Good,19.7,46.4,18.7
Assam,Guwahati,NH3,5.0,5.0,5.0,16,Good,26.0,63.3,20.1
Assam,Guwahati,SO2,40.0,43.0,41.0,10,Good,25.6,88.2,27.3
Assam,Guwahati,OZONE,1.0,16.0,6.0,13,Good,23.2,55.8,9.6
Assam,Guwahati,NH3,1.0,1.0,1.0,21,Good,23.1,85.4,21.7
Assam,Guwahati,SO2,29.0,32.0,31.0,31,Good,39.2,90.5,19.2
Assam,Nagaon,PM2.5,43.0,77.0,63.0,98,Moderate,38.3,55.5,20.0
Assam,Nagaon,NO2,1.0,5.0,1.0,36,Good,21.4,31.7,18.1
Assam,Silchar,NO2,17.0,17.0,17.0,49,Good,25.4,41.8,13.3
Chhattisgarh,Tumidih,PM10,15.0,104.0,32.0,50,Good,32.2,65.1,12.0
Chhattisgarh,Tumidih,NH3,1.0,2.0,1.0,48,Good,34.1,64.1,19.9
Delhi,Delhi,NO2,,,,452,Hazardous,25.8,39.5,2.4
Delhi,Delhi,SO2,2.0,4.0,3.0,47,Good,28.2,81.3,13.2
Delhi,Delhi,PM10,13.0,141.0,84.0,64,Moderate,20.4,45.6,5.8
Delhi,Delhi,NH3,0.0,8.0,2.0,0,Good,36.6,81.9,17.2
Delhi,Delhi,SO2,2.0,4.0,3.0,10,Good,26.2,91.4,2.2
Delhi,Delhi,NH3,6.0,14.0,9.0,37,Good,21.4,52.6,0.4
Delhi,Delhi,PM2.5,42.0,105.0,76.0,58,Moderate,38.4,33.1,23.2
Delhi,Delhi,PM10,52.0,119.0,89.0,82,Moderate,22.3,52.0,9.9
Delhi,Delhi,NH3,0.0,8.0,3.0,6,Good,26.2,54.7,28.5
Delhi,Delhi,NO2,19.0,65.0,27.0,10,Good,27.9,85.6,3.6
Delhi,Delhi,PM10,81.0,152.0,113.0,101,Unhealthy for Sensitive Groups,22.5,36.0,20.8
Assam,Sivasagar,PM2.5,10.0,17.0,13.0,42,Good,28.6,62.0,14.5
Assam,Sivasagar,PM10,24.0,38.0,28.0,45,Good,38.2,48.7,7.7
Assam,Sivasagar,OZONE,26.0,50.0,36.0,1,Good,18.8,90.8,6.7
Bihar,Araria,PM2.5,42.0,140.0,63.0,75,Moderate,26.2,62.1,26.1
Bihar,Arrah,PM2.5,20.0,110.0,62.0,60,Moderate,24.5,38.6,7.5
Bihar,Arrah,NO2,6.0,9.0,7.0,12,Good,19.4,66.4,7.0
Bihar,Arrah,NH3,2.0,2.0,2.0,14,Good,23.7,37.6,16.5
Bihar,Aurangabad,PM2.5,,,,314,Hazardous,17.7,89.5,7.8
Bihar,Begusarai,PM2.5,15.0,50.0,32.0,36,Good,39.3,87.2,17.5
Bihar,Begusarai,PM10,23.0,133.0,80.0,65,Moderate,33.0,58.9,7.8
Bihar,Bhagalpur,NH3,0.0,5.0,2.0,16,Good,35.5,57.1,15.4
Bihar,Bhagalpur,OZONE,6.0,75.0,22.0,32,Good,18.0,31.0,9.3
Bihar,Bhagalpur,SO2,9.0,38.0,24.0,46,Good,19.0,89.6,15.9
Bihar,Muzaffarpur,NH3,0.0,0.0,0.0,25,Good,38.9,84.0,14.8
Bihar,Patna,NH3,9.0,10.0,9.0,38,Good,27.9,53.4,11.6
Bihar,Patna,CO,38.0,48.0,42.0,27,Good,23.5,79.6,3.0
Bihar,Patna,OZONE,11.0,28.0,15.0,16,Good,19.8,47.0,0.3
Bihar,Patna,SO2,6.0,12.0,8.0,50,Good,32.7,41.0,16.2
Bihar,Patna,NH3,,,,488,Hazardous,30.6,68.2,6.5
Bihar,Patna,SO2,14.0,22.0,18.0,25,Good,26.8,51.8,26.8
Bihar,Patna,OZONE,59.0,60.0,59.0,72,Moderate,24.1,75.7,15.2
Bihar,Patna,NO2,17.0,18.0,18.0,24,Good,17.0,68.4,19.1
Bihar,Patna,PM2.5,,,,326,Hazardous,29.9,35.3,0.5
Bihar,Patna,PM10,,,,415,Hazardous,30.4,66.2,24.7
Bihar,Patna,SO2,,,,317,Hazardous,30.2,46.2,28.6
Bihar,Patna,OZONE,16.0,94.0,55.0,72,Moderate,30.7,54.1,13.0
Bihar,Rajgir,OZONE,15.0,45.0,29.0,18,Good,33.0,63.1,18.6
Bihar,Samastipur,CO,2.0,4.0,3.0,48,Good,39.2,66.9,27.4
Bihar,Samastipur,OZONE,6.0,9.0,8.0,19,Good,23.0,78.5,24.0
Bihar,Siwan,PM2.5,7.0,78.0,50.0,43,Good,37.2,44.4,4.3
Bihar,Siwan,NO2,2.0,2.0,2.0,5,Good,33.5,35.3,9.5
Chandigarh,Chandigarh,PM10,,,,327,Hazardous,31.5,87.3,8.8
Chandigarh,Chandigarh,SO2,,,,373,Hazardous,38.5,76.4,18.3
Chandigarh,Chandigarh,OZONE,4.0,32.0,20.0,4,Good,15.7,53.2,29.3
Chandigarh,Chandigarh,PM2.5,5.0,68.0,17.0,36,Good,28.3,56.8,24.6
Chandigarh,Chandigarh,SO2,4.0,7.0,6.0,22,Good,32.5,45.2,30.0
Chhattisgarh,Bhilai,PM10,8.0,25.0,13.0,16,Good,34.9,89.9,12.7
Chhattisgarh,Bhilai,NH3,1.0,2.0,1.0,42,Good,17.9,64.6,27.0
Chhattisgarh,Bhilai,CO,5.0,12.0,9.0,35,Good,22.6,91.6,0.3
Bihar,Katihar,CO,70.0,85.0,78.0,75,Moderate,22.7,85.1,21.5
Bihar,Kishanganj,NO2,7.0,8.0,7.0,44,Good,38.6,85.6,13.5
Bihar,Kishanganj,OZONE,33.0,37.0,34.0,6,Good,30.9,34.8,4.0
Bihar,Manguraha,NO2,2.0,7.0,4.0,48,Good,25.4,80.1,5.0
Bihar,Manguraha,NH3,,,,343,Hazardous,20.8,56.2,26.0
Bihar,Motihari,PM2.5,,,,473,Hazardous,18.3,61.9,3.2
Bihar,Motihari,SO2,3.0,3.0,3.0,44,Good,26.1,84.4,15.7
Bihar,Motihari,OZONE,53.0,57.0,55.0,59,Moderate,22.5,72.9,28.0
Bihar,Munger,NH3,3.0,3.0,3.0,5,Good,21.1,78.9,27.0
Bihar,Munger,SO2,25.0,33.0,29.0,23,Good,26.3,64.5,29.5
Bihar,Munger,OZONE,1.0,6.0,2.0,42,Good,19.6,46.4,2.7
Bihar,Bihar Sharif,OZONE,1.0,2.0,2.0,32,Good,30.6,87.8,12.3
Bihar,Buxar,PM2.5,17.0,500.0,151.0,198,Unhealthy,39.6,46.2,28.9
Bihar,Chhapra,NO2,2.0,3.0,2.0,1,Good,37.0,74.9,10.0
Bihar,Chhapra,SO2,21.0,23.0,21.0,45,Good,19.5,86.8,13.6
Bihar,Chhapra,CO,83.0,103.0,99.0,66,Moderate,20.1,86.4,29.1
Bihar,Gaya,OZONE,28.0,28.0,28.0,33,Good,30.8,50.2,14.3
Bihar,Gaya,SO2,7.0,9.0,8.0,45,Good,34.3,48.0,29.3
Bihar,Gaya,PM2.5,10.0,87.0,39.0,9,Good,26.6,66.1,14.8
Bihar,Gaya,NH3,0.0,1.0,1.0,14,Good,17.7,55.8,29.9
Andhra Pradesh,Amaravati,PM10,26.0,103.0,52.0,68,Moderate,16.5,60.8,24.9
Andhra Pradesh,Amaravati,OZONE,26.0,36.0,31.0,30,Good,37.8,88.3,29.9
Andhra Pradesh,Anantapur,NO2,14.0,29.0,18.0,32,Good,37.2,91.5,12.7
Andhra Pradesh,Anantapur,NH3,3.0,6.0,3.0,38,Good,31.9,37.4,3.7
Andhra Pradesh,Anantapur,CO,24.0,29.0,27.0,12,Good,35.4,94.1,6.8
Andhra Pradesh,Eluru,PM10,54.0,71.0,64.0,94,Moderate,38.6,74.1,2.4
Andhra Pradesh,Eluru,NH3,3.0,7.0,5.0,14,Good,17.3,55.5,24.2
Andhra Pradesh,Eluru,SO2,7.0,16.0,12.0,12,Good,23.4,58.1,13.5
Andhra Pradesh,Kadapa,PM10,44.0,56.0,53.0,99,Moderate,21.7,44.9,21.0
Andhra Pradesh,Kadapa,NO2,28.0,35.0,31.0,44,Good,27.7,31.2,7.1
Chhattisgarh,Bilaspur,NO2,15.0,19.0,17.0,16,Good,38.0,84.7,18.1
Chhattisgarh,Bilaspur,NH3,,,,374,Hazardous,24.9,74.5,27.6
Chhattisgarh,Kunjemura,PM2.5,12.0,27.0,19.0,40,Good,33.7,67.5,25.0
Chhattisgarh,Kunjemura,NO2,5.0,17.0,8.0,26,Good,21.3,30.3,18.2
Chhattisgarh,Kunjemura,SO2,0.0,17.0,8.0,25,Good,15.8,60.6,7.4
Chhattisgarh,Kunjemura,CO,25.0,28.0,26.0,48,Good,20.0,93.2,18.8
Chhattisgarh,Raipur,PM2.5,9.0,17.0,12.0,11,Good,21.8,90.8,23.4
Chhattisgarh,Raipur,CO,17.0,17.0,17.0,8,Good,24.2,81.0,26.6
Chhattisgarh,Raipur,CO,10.0,13.0,11.0,23,Good,21.4,53.8,26.0
Delhi,Delhi,OZONE,27.0,62.0,46.0,31,Good,21.8,51.3,28.1
Delhi,Delhi,PM2.5,18.0,136.0,66.0,74,Moderate,19.3,37.2,7.2
Delhi,Delhi,OZONE,9.0,98.0,51.0,86,Moderate,31.5,45.7,21.1
Delhi,Delhi,SO2,,,,385,Hazardous,21.0,69.7,24.7
Delhi,Delhi,PM2.5,8.0,92.0,60.0,59,Moderate,39.9,48.6,15.9
Delhi,Delhi,OZONE,29.0,103.0,61.0,53,Moderate,24.3,67.6,21.8
Gujarat,Ahmedabad,NH3,1.0,1.0,1.0,10,Good,16.0,47.8,20.3
Gujarat,Ahmedabad,SO2,0.0,1.0,1.0,8,Good,18.8,77.3,13.3
Gujarat,Ahmedabad,PM10,45.0,99.0,74.0,91,Moderate,31.2,44.0,17.8
Gujarat,Ahmedabad,NO2,13.0,81.0,21.0,36,Good,20.0,53.8,11.5
Gujarat,Ahmedabad,NH3,3.0,4.0,3.0,41,Good,19.5,79.3,7.9
Gujarat,Ahmedabad,SO2,16.0,37.0,24.0,44,Good,37.2,66.0,19.2
Gujarat,Ahmedabad,OZONE,11.0,18.0,14.0,12,Good,23.7,42.4,28.6
Gujarat,Ahmedabad,PM10,57.0,129.0,85.0,73,Moderate,39.7,78.1,21.3
Gujarat,Ahmedabad,SO2,12.0,56.0,29.0,7,Good,21.5,90.4,7.6
Gujarat,Ahmedabad,OZONE,5.0,24.0,13.0,1,Good,22.2,81.1,16.9
Gujarat,Ahmedabad,PM2.5,20.0,47.0,33.0,33,Good,31.0,85.5,23.0
Delhi,Delhi,SO2,1.0,4.0,3.0,7,Good,27.6,36.2,9.4
Delhi,Delhi,NH3,3.0,16.0,6.0,31,Good,18.8,87.6,17.7
Delhi,Delhi,CO,24.0,34.0,28.0,4,Good,38.6,91.6,22.3
Delhi,Delhi,SO2,6.0,19.0,12.0,48,Good,26.4,38.1,12.0
Delhi,Delhi,CO,44.0,80.0,57.0,55,Moderate,37.6,51.7,6.2
Delhi,Delhi,NO2,21.0,62.0,34.0,45,Good,25.8,34.6,17.5
Delhi,Delhi,CO,28.0,43.0,33.0,40,Good,21.3,64.9,13.5
Delhi,Delhi,NO2,16.0,64.0,29.0,2,Good,16.0,33.8,12.3
Delhi,Delhi,CO,69.0,93.0,74.0,79,Moderate,38.4,68.1,22.4
Delhi,Delhi,NO2,15.0,37.0,21.0,5,Good,15.2,77.1,1.6
Delhi,Delhi,NH3,3.0,14.0,10.0,18,Good,33.4,71.7,16.8
Delhi,Delhi,SO2,0.0,8.0,3.0,39,Good,21.7,65.6,17.1
Delhi,Delhi,PM2.5,28.0,93.0,59.0,77,Moderate,23.2,40.1,14.3
Delhi,Delhi,PM10,52.0,127.0,95.0,71,Moderate,24.2,51.1,30.0
Delhi,Delhi,NO2,12.0,53.0,24.0,42,Good,30.5,45.0,11.5
Delhi,Delhi,SO2,8.0,113.0,43.0,39,Good,25.4,90.1,16.8
Delhi,Delhi,PM10,66.0,150.0,115.0,109,Unhealthy for Sensitive Groups,37.8,85.9,24.5
Delhi,Delhi,CO,47.0,67.0,54.0,83,Moderate,35.9,93.5,23.2
Delhi,Delhi,OZONE,1.0,12.0,6.0,11,Good,16.6,54.2,18.3
Delhi,Delhi,OZONE,8.0,11.0,9.0,31,Good,24.2,88.9,12.4
Delhi,Delhi,NO2,46.0,92.0,71.0,88,Moderate,33.1,72.7,7.7
Delhi,Delhi,NH3,1.0,3.0,2.0,31,Good,29.7,91.5,3.7
Delhi,Delhi,SO2,6.0,26.0,15.0,48,Good,19.7,73.3,27.6
Delhi,Delhi,CO,105.0,108.0,107.0,141,Unhealthy for Sensitive Groups,22.4,72.9,24.7
Delhi,Delhi,CO,35.0,52.0,42.0,29,Good,24.3,53.8,5.8
Delhi,Delhi,PM2.5,37.0,217.0,78.0,96,Moderate,39.4,44.2,0.4
Delhi,Delhi,PM10,58.0,115.0,84.0,62,Moderate,25.4,88.2,23.6
Gujarat,Vadodara,NH3,2.0,2.0,2.0,24,Good,31.7,81.9,26.8
Gujarat,Vadodara,OZONE,2.0,5.0,4.0,37,Good,24.3,46.1,23.0
Gujarat,Vapi,PM10,,,,313,Hazardous,36.1,32.4,22.3
Gujarat,Vatva,SO2,18.0,38.0,27.0,43,Good,31.4,38.1,17.2
Gujarat,Vatva,CO,13.0,14.0,13.0,21,Good,21.9,65.0,1.5
Haryana,Ambala,PM2.5,29.0,72.0,47.0,0,Good,15.0,41.5,27.5
Haryana,Bahadurgarh,NH3,8.0,9.0,8.0,39,Good,33.1,91.6,25.4
Haryana,Bhiwani,PM2.5,134.0,197.0,152.0,179,Unhealthy,36.7,86.0,3.7
Haryana,Bhiwani,NO2,7.0,10.0,8.0,25,Good,37.5,90.8,21.5
Haryana,Bhiwani,NH3,1.0,3.0,2.0,49,Good,29.6,50.7,8.7
Haryana,Bhiwani,SO2,12.0,13.0,13.0,46,Good,18.3,69.0,9.9
Gujarat,Gandhinagar,PM2.5,22.0,65.0,39.0,44,Good,34.9,42.4,13.7
Gujarat,Gandhinagar,NO2,9.0,16.0,12.0,46,Good,15.5,57.7,9.2
Gujarat,Mehsana,PM10,21.0,106.0,54.0,63,Moderate,24.1,49.6,11.3
Gujarat,Nandesari,NH3,,,,454,Hazardous,30.2,30.9,5.2
Gujarat,Rajkot,CO,82.0,90.0,85.0,75,Moderate,38.9,78.7,8.8
Gujarat,Surat,PM2.5,6.0,90.0,26.0,22,Good,26.6,81.6,11.8
Gujarat,Surat,PM10,16.0,121.0,35.0,18,Good,37.4,46.3,4.2
Gujarat,Surat,NO2,2.0,4.0,3.0,15,Good,35.5,44.2,29.6
Gujarat,Surat,NH3,,,,443,Hazardous,19.7,40.2,19.7
Gujarat,Surat,CO,39.0,48.0,42.0,35,Good,35.5,35.1,14.6
Gujarat,Surat,OZONE,,,,477,Hazardous,29.1,83.8,1.8
Delhi,Delhi,PM2.5,50.0,95.0,71.0,53,Moderate,26.4,81.8,17.6
Delhi,Delhi,PM2.5,52.0,187.0,97.0,66,Moderate,15.6,88.9,20.5
Delhi,Delhi,PM10,64.0,116.0,93.0,74,Moderate,32.9,58.9,9.4
Delhi,Delhi,NH3,3.0,5.0,4.0,19,Good,23.4,60.7,4.9
Delhi,Delhi,SO2,23.0,50.0,39.0,1,Good,21.2,66.4,13.0
Delhi,Delhi,NH3,4.0,6.0,5.0,32,Good,30.8,67.4,19.9
Delhi,Delhi,SO2,29.0,76.0,52.0,87,Moderate,38.8,31.3,14.0
Delhi,Delhi,PM2.5,53.0,134.0,82.0,69,Moderate,16.7,72.3,4.3
Delhi,Delhi,OZONE,8.0,33.0,18.0,16,Good,24.1,58.8,7.9
Delhi,Delhi,PM2.5,48.0,98.0,79.0,65,Moderate,32.6,41.7,9.6
Delhi,Delhi,PM10,56.0,117.0,92.0,85,Moderate,37.8,31.0,9.2
Haryana,Charkhi Dadri,NH3,5.0,8.0,6.0,48,Good,31.5,71.2,27.4
Haryana,Dharuhera,PM10,70.0,134.0,100.0,90,Moderate,34.1,40.9,2.8
Haryana,Dharuhera,NO2,14.0,72.0,47.0,3,Good,33.1,65.9,17.8
Haryana,Dharuhera,CO,64.0,79.0,72.0,56,Moderate,33.2,84.9,8.5
Haryana,Faridabad,NO2,30.0,33.0,32.0,20,Good,20.0,75.5,5.1
Haryana,Faridabad,NH3,5.0,5.0,5.0,17,Good,33.7,92.3,10.5
Haryana,Faridabad,PM2.5,33.0,149.0,84.0,53,Moderate,35.5,90.5,3.3
Haryana,Gurugram,NH3,,,,464,Hazardous,36.9,77.3,12.0
Haryana,Gurugram,OZONE,27.0,54.0,44.0,36,Good,32.0,51.6,9.4
Gujarat,Ahmedabad,NH3,1.0,1.0,1.0,48,Good,21.1,30.1,6.8
Gujarat,Ahmedabad,SO2,8.0,10.0,9.0,25,Good,22.0,33.4,19.6
Gujarat,Ahmedabad,CO,10.0,22.0,17.0,30,Good,31.7,38.9,13.9
Gujarat,Ankleshwar,PM10,,,,375,Hazardous,39.0,72.9,25.1
Gujarat,Ankleshwar,NH3,,,,301,Hazardous,25.5,88.7,0.2
Gujarat,Bhavnagar,PM2.5,0.0,29.0,16.0,39,Good,19.5,91.3,17.0
Gujarat,Bhavnagar,PM10,27.0,194.0,98.0,93,Moderate,15.1,63.5,15.8
Gujarat,Gandhinagar,PM2.5,18.0,57.0,37.0,48,Good,23.6,50.6,15.5
Delhi,Delhi,PM10,21.0,196.0,123.0,121,Unhealthy for Sensitive Groups,27.3,59.4,22.5
Delhi,Delhi,PM10,77.0,139.0,110.0,123,Unhealthy for Sensitive Groups,16.2,65.9,12.4
Delhi,Delhi,NH3,6.0,13.0,9.0,7,Good,37.4,92.4,29.8
Delhi,Delhi,NO2,15.0,113.0,57.0,84,Moderate,39.4,35.7,25.7
Delhi,Delhi,NH3,,,,367,Hazardous,39.0,61.5,2.7
Delhi,Delhi,SO2,,,,427,Hazardous,38.4,77.6,16.2
Delhi,Delhi,OZONE,3.0,72.0,37.0,38,Good,33.1,61.9,3.8
Delhi,Delhi,OZONE,24.0,44.0,35.0,38,Good,20.2,36.1,6.6
Karnataka,Koppal,PM2.5,,,,333,Hazardous,32.9,92.2,4.0
Karnataka,Koppal,PM10,,,,303,Hazardous,15.2,70.8,19.4
Karnataka,Koppal,NH3,2.0,8.0,8.0,33,Good,31.1,45.5,3.5
Karnataka,Mangalore,PM10,24.0,30.0,27.0,25,Good,31.9,49.4,1.7
Karnataka,Mangalore,NO2,1.0,6.0,3.0,50,Good,28.6,91.4,29.0
Karnataka,Mysuru,PM10,17.0,83.0,44.0,25,Good,37.9,71.8,15.6
Karnataka,Mysuru,OZONE,19.0,55.0,33.0,40,Good,29.7,36.5,15.7
Karnataka,Ramanagara,CO,18.0,33.0,26.0,11,Good,28.8,40.3,29.5
Karnataka,Shivamogga,PM10,33.0,50.0,42.0,47,Good,18.6,88.6,6.6
Karnataka,Shivamogga,NO2,20.0,29.0,24.0,20,Good,15.6,46.1,5.1
Karnataka,Shivamogga,OZONE,42.0,64.0,48.0,11,Good,28.2,32.2,11.8
Karnataka,Vijayapura,PM10,35.0,39.0,37.0,17,Good,15.3,46.8,21.4
Karnataka,Vijayapura,CO,11.0,30.0,21.0,30,Good,36.9,85.3,4.9
Karnataka,Vijayapura,OZONE,16.0,16.0,16.0,48,Good,23.1,63.7,25.4
Karnataka,Yadgir,PM2.5,2.0,17.0,7.0,0,Good,27.7,80.5,5.0
Karnataka,Yadgir,NO2,16.0,22.0,18.0,33,Good,21.0,34.4,24.1
Karnataka,Yadgir,OZONE,11.0,29.0,21.0,39,Good,24.6,93.5,21.3
Haryana,Gurugram,PM2.5,116.0,345.0,214.0,265,Very Unhealthy,38.7,66.1,27.7
Haryana,Hisar,PM2.5,92.0,280.0,147.0,108,Unhealthy for Sensitive Groups,27.3,57.0,20.7
Haryana,Jind,PM2.5,75.0,305.0,137.0,109,Unhealthy for Sensitive Groups,29.8,54.4,29.0
Haryana,Jind,NO2,13.0,27.0,19.0,42,Good,38.7,50.0,10.5
Haryana,Karnal,PM10,3.0,375.0,163.0,186,Unhealthy,37.2,32.3,1.6
Haryana,Karnal,NH3,6.0,7.0,6.0,22,Good,18.2,88.3,10.3
Haryana,Karnal,SO2,12.0,13.0,13.0,24,Good,25.7,63.6,11.3
Haryana,Kurukshetra,CO,20.0,35.0,25.0,22,Good,33.5,86.3,29.3
Haryana,Manesar,PM2.5,75.0,172.0,118.0,125,Unhealthy for Sensitive Groups,36.3,49.7,10.1
Haryana,Manesar,PM10,79.0,165.0,129.0,144,Unhealthy for Sensitive Groups,17.6,94.1,11.5
Haryana,Manesar,NO2,27.0,32.0,30.0,10,Good,29.8,66.8,15.2
Haryana,Manesar,NH3,7.0,11.0,9.0,5,Good,17.6,91.1,10.9
Haryana,Narnaul,NH3,8.0,10.0,9.0,14,Good,15.6,76.4,22.4
Haryana,Narnaul,SO2,6.0,7.0,7.0,23,Good,39.2,84.6,6.2
Haryana,Narnaul,OZONE,13.0,55.0,25.0,41,Good,35.2,84.3,7.7
Haryana,Palwal,PM2.5,27.0,63.0,33.0,48,Good,18.1,81.6,19.8
Haryana,Palwal,CO,16.0,54.0,28.0,26,Good,17.4,74.3,3.5
Haryana,Panchgaon,PM2.5,,,,386,Hazardous,28.1,37.5,2.1
Haryana,Panchgaon,CO,41.0,59.0,47.0,22,Good,26.1,67.6,26.0
Haryana,Panchkula,NH3,,,,348,Hazardous,20.3,62.9,7.8
Haryana,Panchkula,SO2,,,,489,Hazardous,36.9,75.0,29.0
Haryana,Panipat,NH3,7.0,7.0,7.0,34,Good,21.3,34.8,8.3
Haryana,Rohtak,SO2,8.0,12.0,10.0,26,Good,19.9,38.1,27.9
Haryana,Sonipat,PM2.5,3.0,483.0,160.0,156,Unhealthy,26.5,49.6,21.6
Haryana,Sonipat,NO2,6.0,8.0,7.0,18,Good,25.2,92.8,14.5
Haryana,Sonipat,OZONE,66.0,190.0,121.0,104,Unhealthy for Sensitive Groups,21.8,88.2,3.6
Haryana,Yamuna Nagar,NO2,45.0,60.0,53.0,58,Moderate,20.7,73.6,10.6
Haryana,Yamuna Nagar,SO2,10.0,15.0,11.0,38,Good,32.7,34.4,6.1
Haryana,Yamuna Nagar,CO,23.0,41.0,32.0,13,Good,27.2,56.6,24.9
Himachal Pradesh,Baddi,NO2,7.0,28.0,16.0,12,Good,37.5,39.9,26.6
Jammu and Kashmir,Pampore,OZONE,,,,364,Hazardous,28.3,48.4,29.1
Jharkhand,Jorapokhar,OZONE,3.0,5.0,4.0,34,Good,33.6,87.4,11.6
Karnataka,Bagalkot,NH3,1.0,1.0,1.0,28,Good,38.3,54.2,26.7
Karnataka,Bengaluru,PM10,23.0,96.0,43.0,43,Good,24.1,32.3,6.9
Karnataka,Bengaluru,PM2.5,,,,321,Hazardous,39.1,39.7,3.6
Karnataka,Bengaluru,SO2,13.0,15.0,15.0,6,Good,37.0,35.7,8.6
Kerala,Kollam,SO2,1.0,4.0,2.0,46,Good,29.3,56.7,6.6
Kerala,Thiruvananthapuram,PM2.5,45.0,49.0,47.0,46,Good,26.6,31.2,8.8
Kerala,Thrissur,PM10,44.0,65.0,56.0,57,Moderate,17.8,85.6,27.1
Madhya Pradesh,Bhopal,NO2,11.0,21.0,15.0,47,Good,18.2,89.8,21.9
Madhya Pradesh,Bhopal,SO2,13.0,24.0,17.0,18,Good,29.4,91.2,25.1
Madhya Pradesh,Bhopal,SO2,22.0,32.0,27.0,37,Good,36.1,47.1,30.0
Madhya Pradesh,Bhopal,CO,36.0,60.0,46.0,24,Good,38.9,82.1,13.7
Madhya Pradesh,Bhopal,NH3,3.0,5.0,4.0,37,Good,34.6,62.1,29.5
Karnataka,Bengaluru,NH3,,,,375,Hazardous,37.1,80.4,11.6
Karnataka,Bengaluru,OZONE,28.0,41.0,35.0,43,Good,20.1,56.9,26.7
Karnataka,Bengaluru,NH3,3.0,3.0,3.0,50,Good,37.0,37.4,10.7
Karnataka,Bengaluru,PM2.5,9.0,46.0,24.0,35,Good,19.5,49.0,2.7
Karnataka,Bengaluru,PM10,29.0,114.0,80.0,87,Moderate,22.8,48.1,5.9
Karnataka,Bengaluru,NO2,6.0,13.0,9.0,29,Good,18.3,89.4,26.3
Karnataka,Bengaluru,CO,2.0,18.0,11.0,0,Good,16.5,66.7,1.1
Karnataka,Bengaluru,NH3,1.0,1.0,1.0,47,Good,23.6,83.1,29.5
Karnataka,Chamarajanagar,SO2,4.0,5.0,4.0,21,Good,39.7,58.4,8.8
Karnataka,Chikkaballapur,OZONE,36.0,47.0,42.0,9,Good,34.1,56.4,27.3
Karnataka,Gadag,NH3,3.0,4.0,3.0,35,Good,36.6,85.6,29.5
Karnataka,Hubballi,PM10,45.0,49.0,47.0,24,Good,15.7,82.3,7.1
Karnataka,Hubballi,NO2,7.0,9.0,8.0,34,Good,26.6,90.2,7.4
Karnataka,Hubballi,NH3,1.0,2.0,2.0,2,Good,31.8,55.7,7.1
Karnataka,Hubballi,OZONE,21.0,22.0,22.0,24,Good,19.0,80.1,6.6
Karnataka,Kalaburagi,PM2.5,14.0,39.0,29.0,6,Good,21.2,57.4,27.0
Karnataka,Kalaburagi,NH3,2.0,3.0,2.0,8,Good,39.0,50.4,7.1
Madhya Pradesh,Damoh,PM2.5,9.0,33.0,21.0,8,Good,19.4,65.1,21.7
Madhya Pradesh,Damoh,PM10,18.0,61.0,29.0,26,Good,31.6,51.8,28.8
